N,(d/l)^2,l
0,0,1
100,64.95869638,1
200,144.7704566,1
300,238.4315413,1
400,287.4006317,1
500,435.8006052,1
600,554.811776,1
700,734.7811482,1
800,660.945172,1
900,680.5226365,1
1000,1021.942821,1
0,0,2
100,71.59866979,2
200,128.4581689,2
300,272.6969568,2
400,281.6030644,2
500,530.9052222,2
600,252.0686342,2
700,638.4568482,2
800,579.424026,2
900,237.3601611,2
1000,1094.731032,2
0,0,3
100,97.02754918,3
200,183.9188269,3
300,348.1347079,3
400,300.5250823,3
500,423.722576,3
600,442.3158725,3
700,575.8660759,3
800,874.5821923,3
900,738.5438013,3
1000,972.5302653,3
0,0,4
100,144.0973456,4
200,228.4989419,4
300,155.1315915,4
400,270.7675888,4
500,225.5339065,4
600,267.8267647,4
700,562.4917132,4
800,488.5077094,4
900,650.9812016,4
1000,838.5056749,4
0,0,5
100,57.53167739,5
200,173.6037936,5
300,215.7248038,5
400,249.0013327,5
500,323.6592482,5
600,481.0060799,5
700,637.8222488,5
800,819.5141445,5
900,860.5769437,5
1000,781.9233783,5
0,0,6
100,109.5847758,6
200,163.2438675,6
300,162.306826,6
400,470.2442209,6
500,228.6716124,6
600,507.0942495,6
700,551.2648594,6
800,770.1683392,6
900,571.3562963,6
1000,550.9232521,6
0,0,7
100,115.985265,7
200,231.6953793,7
300,202.3697469,7
400,367.237322,7
500,430.05682,7
600,400.6180347,7
700,364.4532654,7
800,1036.322072,7
900,981.4379356,7
1000,1334.678924,7
0,0,8
100,91.48468145,8
200,119.3712998,8
300,184.733352,8
400,315.4698152,8
500,308.1461081,8
600,557.1215301,8
700,907.7261662,8
800,760.6733781,8
900,336.1982135,8
1000,642.040719,8
0,0,9
100,94.21030957,9
200,199.2249117,9
300,155.4804369,9
400,268.7175085,9
500,698.3339648,9
600,459.9246059,9
700,558.8136356,9
800,537.469267,9
900,809.3481375,9
1000,903.0442899,9
